Year,PercentSmokers,PercentMaleSmokers,PercentFemaleSmokers,LungCancerPer100,UnemploymentRate
1985,34,36,32,115.1,10.1
1986,33,35,31,117,9.2
1989,32,33,30.5,113.3,7
1990,31,31,28,112.5,7.8
1991,31,32,30,109.4,9.8
1994,30,31,27.5,101.9,9.6
1995,26,28,25,101.2,8.6
1996,27,29,26,98.8,8.8
1999,25,27,23,95.5,6.9
2000,24,26,23,90.2,6.1
2001,22,24,20,89.5,6.5
2002,21,23,20,87.1,7
2003,21,23,18,84.9,6.9
2004,20,22,17,84.4,6.4
2005,19,22,16,84,6
2006,19,20,17,82.7,5.5
2007,19,20,18,82.5,5.2
2008,18,20,16,79.2,5.3
2009,17.5,19,16,79.8,7.4
2010,17,20,14,80.6,7.1
2011,17,20,15,77.5,6.6
